id,name,type,type_code,address,location,tel,business_area,poi_type
BV10013516,上地(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)13A号线;13号线,"116.320193,40.033007",[],上地,交通设施服务
BV10000769,永泰庄(地铁站),交通设施服务;地铁站;地铁站,150500,8号线,"116.354580,40.037728",[],清河,交通设施服务
BV10013468,西小口(地铁站),交通设施服务;地铁站;地铁站,150500,8号线,"116.351644,40.046873",[],西三旗,交通设施服务
BV10847815,清河小营桥(地铁站),交通设施服务;地铁站;地铁站,150500,昌平线,"116.343739,40.034723",[],清河,交通设施服务
BV10847816,学知园(地铁站),交通设施服务;地铁站;地铁站,150500,昌平线,"116.352195,40.015011",[],林萃,交通设施服务
BV11570037,朱房北(地铁站),交通设施服务;地铁站;地铁站,150500,昌平线,"116.331936,40.035967",[],清河,交通设施服务
BX10015654,林萃桥地铁站A西北口,交通设施服务;地铁站;出入口,150501,8号线,"116.372130,40.022146",[],林萃,交通设施服务
BX09902154,清河小营桥地铁站A1口,交通设施服务;地铁站;出入口,150501,昌平线,"116.342403,40.035483",[],清河,交通设施服务
BX10015645,永泰庄地铁站A西北口,交通设施服务;地铁站;出入口,150501,8号线,"116.354384,40.037495",[],清河,交通设施服务
BX10015068,上地地铁站A西南口,交通设施服务;地铁站;出入口,150501,13号线,"116.319730,40.032914",[],上地,交通设施服务
BX10015629,西小口地铁站A西北口,交通设施服务;地铁站;出入口,150501,8号线,"116.351009,40.047308",[],西三旗,交通设施服务
BX10015630,西小口地铁站D西南口,交通设施服务;地铁站;出入口,150501,8号线,"116.351462,40.046304",[],清河,交通设施服务
BX10015631,西小口地铁站C东南口,交通设施服务;地铁站;出入口,150501,8号线,"116.352471,40.046236",[],清河,交通设施服务
BX09907159,学知园地铁站D口,交通设施服务;地铁站;出入口,150501,昌平线,"116.351913,40.013971",[],林萃,交通设施服务
BX10015646,永泰庄地铁站C东南口,交通设施服务;地铁站;出入口,150501,8号线,"116.354856,40.037884",[],清河,交通设施服务
BX09902362,清河小营桥地铁站C口,交通设施服务;地铁站;出入口,150501,昌平线,"116.344489,40.033833",[],清河,交通设施服务
BX09902305,清河小营桥地铁站D口,交通设施服务;地铁站;出入口,150501,昌平线,"116.343719,40.033544",[],清河,交通设施服务
BX10015632,西小口地铁站B东北口,交通设施服务;地铁站;出入口,150501,8号线,"116.351515,40.047684",[],西三旗,交通设施服务
BX09902006,清河小营桥地铁站B2口,交通设施服务;地铁站;出入口,150501,昌平线,"116.344019,40.036424",[],清河,交通设施服务
BX09907158,学知园地铁站B口,交通设施服务;地铁站;出入口,150501,昌平线,"116.352569,40.016028",[],林萃,交通设施服务
BX09907161,学知园地铁站C口,交通设施服务;地铁站;出入口,150501,昌平线,"116.352477,40.014163",[],林萃,交通设施服务
BX09902007,清河小营桥地铁站B1口,交通设施服务;地铁站;出入口,150501,昌平线,"116.343138,40.035897",[],清河,交通设施服务
BX09902363,清河小营桥地铁站B3口,交通设施服务;地铁站;出入口,150501,昌平线,"116.345233,40.035137",[],清河,交通设施服务
BX09907160,学知园地铁站A口,交通设施服务;地铁站;出入口,150501,昌平线,"116.351843,40.016151",[],林萃,交通设施服务
BX09912434,朱房北地铁站A口,交通设施服务;地铁站;出入口,150501,昌平线,"116.330752,40.036082",[],清河,交通设施服务
BX09912433,朱房北地铁站C口,交通设施服务;地铁站;出入口,150501,昌平线,"116.332218,40.035784",[],清河,交通设施服务
BX09902152,清河小营桥地铁站A2口,交通设施服务;地铁站;出入口,150501,昌平线,"116.342970,40.034674",[],清河,交通设施服务
BX09912435,朱房北地铁站D口,交通设施服务;地铁站;出入口,150501,昌平线,"116.331415,40.035747",[],清河,交通设施服务
