id,name,type,type_code,address,location,tel,business_area,poi_type
BV10013457,五棵松(地铁站),交通设施服务;地铁站;地铁站,150500,1号线/八通线,"116.273987,39.907456",[],五棵松,交通设施服务
BV10013456,玉泉路(地铁站),交通设施服务;地铁站;地铁站,150500,1号线/八通线,"116.252888,39.907433",[],[],交通设施服务
BV10000302,八宝山(地铁站),交通设施服务;地铁站;地铁站,150500,1号线/八通线,"116.235907,39.907417",[],[],交通设施服务
BV10013455,八角游乐园(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)1号线支线;1号线/八通线,"116.212858,39.907442",[],[],交通设施服务
BV11103939,田村(地铁站),交通设施服务;地铁站;地铁站,150500,6号线,"116.252914,39.929503",[],[],交通设施服务
BV11103937,廖公庄(地铁站),交通设施服务;地铁站;地铁站,150500,6号线,"116.227292,39.932422",[],[],交通设施服务
BX09901017,五棵松地铁站A西北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.273615,39.907660",[],五棵松,交通设施服务
BX09906919,田村地铁站A西北口,交通设施服务;地铁站;出入口,150501,6号线,"116.252442,39.929786",[],[],交通设施服务
BX10014915,五棵松地铁站D1西南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.272951,39.907247",[],五棵松,交通设施服务
BX10014848,玉泉路地铁站C1东南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.253819,39.907247",[],五棵松,交通设施服务
BX09906921,田村地铁站B东北口,交通设施服务;地铁站;出入口,150501,6号线,"116.253657,39.929792",[],[],交通设施服务
BX10014820,八角游乐园地铁站A北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.212575,39.907646",[],[],交通设施服务
BX10014912,五棵松地铁站B2东北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.274489,39.907653",[],五棵松,交通设施服务
BX10014819,八角游乐园地铁站B南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.212578,39.907195",[],[],交通设施服务
BX09906920,田村地铁站D西南口,交通设施服务;地铁站;出入口,150501,6号线,"116.252360,39.928545",[],[],交通设施服务
BX10014910,五棵松地铁站D2西南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.273576,39.907244",[],五棵松,交通设施服务
BX09907017,廖公庄地铁站B东北口,交通设施服务;地铁站;出入口,150501,6号线,"116.228983,39.932887",[],[],交通设施服务
BX10014852,玉泉路地铁站B2东北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.253462,39.907618",[],五棵松,交通设施服务
BX10014901,八宝山地铁站A西北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.235380,39.907598",[],[],交通设施服务
BX10014850,玉泉路地铁站D1西南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.251805,39.907249",[],[],交通设施服务
BX09907015,廖公庄地铁站D西南口,交通设施服务;地铁站;出入口,150501,6号线,"116.225550,39.932210",[],[],交通设施服务
BX10014853,玉泉路地铁站A1西北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.251790,39.907615",[],[],交通设施服务
BX10014854,玉泉路地铁站D2西南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.252277,39.907256",[],[],交通设施服务
BX10014851,玉泉路地铁站C2东南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.253337,39.907248",[],五棵松,交通设施服务
BX10014849,玉泉路地铁站A2西北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.252260,39.907622",[],[],交通设施服务
BX10014847,玉泉路地铁站B1东北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.253850,39.907617",[],五棵松,交通设施服务
BX09907016,廖公庄地铁站C东南口,交通设施服务;地铁站;出入口,150501,6号线,"116.228181,39.932200",[],[],交通设施服务
BX09913102,八宝山地铁站D西南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.235393,39.907202",[],[],交通设施服务
BX09913100,八宝山地铁站C东南口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.236885,39.907202",[],[],交通设施服务
BX09913099,八宝山地铁站B东北口,交通设施服务;地铁站;出入口,150501,1号线/八通线,"116.236873,39.907601",[],[],交通设施服务
B000A81K8A,北京国际雕塑公园,风景名胜;公园广场;公园,110101,石景山路2号(地铁玉泉路A出口西侧),"116.244721,39.905924",010-68650422,[],风景名胜
B000A85T0O,老山城市休闲公园,风景名胜;公园广场;公园,110101,老山南路与上庄大街交叉口西,"116.224446,39.914890",010-88971880,[],风景名胜
B000A8043T,阳光星期八公园,风景名胜;公园广场;公园,110101,金沟河路26号,"116.254489,39.916142",010-68242059,五棵松,风景名胜
B0FFF37Y8H,五棵松奥林匹克文化公园,风景名胜;公园广场;公园,110101,西四环中路辅路,"116.275226,39.911830",[],五棵松,风景名胜
B0FFG4YENE,田村文化体育广场,风景名胜;公园广场;城市广场,110105,田村北路17号,"116.243314,39.934853",010-88180639,[],风景名胜
B0FFFAJ38U,青塔街心公园,风景名胜;公园广场;公园,110101,青塔西路芳园小区,"116.260386,39.892431",[],青塔,风景名胜
B0FFGBC3GH,五棵松奥林匹克文化公园-南区,风景名胜;风景名胜相关;旅游景点,110000,西四环中路五棵松公园(五棵松地铁站出入口步行90米),"116.275183,39.910227",[],五棵松,风景名胜
